OF072522,Cage 4,3526676,Batch 2,Phase 1,4,10:10:39 AM,300,298.15,66.36,67.63,695,625,132.08,69,167.92,69,11.96,36.03,4,12.66,27,70,299,20,45,16.67,1,0,6.29,19,8.17,On,On
OF072522,Cage 5,3526651,Batch 2,Phase 1,1,9:56:05 AM,300,325.82,93.45,77.79,679,633,150.94,43,149.06,44,12.28,80.23,2,4.64,25,46,306,12,19,4.47,1,0,6.06,15.62,6.11,On,On
OF072522,Cage 5,3526651,Batch 2,Phase 1,2,10:01:05 AM,300,369.7,72.07,107,749,696,139.05,67,160.95,67,13.35,39.67,2,9.06,25,53,339,29,47,21.38,1,1,7.2,20.68,11.59,On,On
OF072522,Cage 5,3526651,Batch 2,Phase 1,3,10:06:05 AM,300,401.21,82.23,117.16,816,755,132.86,72,167.14,73,12.61,30.32,4,10.39,36,61,331,33,54,11.81,1,2,7.23,16.55,10.81,On,On
OF072522,Cage 5,3526651,Batch 2,Phase 1,4,10:11:05 AM,300,341.65,91.12,78.74,914,843,103.05,65,196.95,66,14.08,45.38,1,9.7,33,71,469,20,36,19.05,0,2,6.68,18.37,7.38,On,On
OF072522,Cage 6,3526726,Batch 2,Phase 1,1,9:56:26 AM,300,69.71,5.08,5.08,261,233,205.42,57,94.58,57,9.08,27.73,5,5.77,17,28,91,1,2,0.22,1,0,3.67,10.58,3.78,On,On
OF072522,Cage 6,3526726,Batch 2,Phase 1,2,10:01:26 AM,300,534.61,97.16,156.53,951,892,75.08,47,224.92,47,25.36,57,2,7.4,36,59,466,24,55,14.03,2,2,6.88,13.68,11.87,On,On
OF072522,Cage 6,3526726,Batch 2,Phase 1,3,10:06:26 AM,300,479.48,89.85,110.49,1043,946,55.25,39,244.75,39,21.32,61.23,1,11.58,47,97,568,28,67,18.84,0,2,7.38,17.65,11.03,On,On
OF072522,Cage 6,3526726,Batch 2,Phase 1,4,10:11:26 AM,300,409.08,99.06,62.87,854,796,95.05,55,204.95,56,16.61,31.76,2,13.67,32,58,492,35,73,17.95,1,0,6.65,14.06,8.86,On,On
OF072522,Cage 7,3526624,Batch 2,Phase 1,1,9:56:43 AM,300,100.19,14.29,20,307,272,214.92,24,85.08,25,8.88,95.06,1,7.06,16,35,151,1,0,0.09,0,2,4.54,10.16,5.92,On,On
OF072522,Cage 7,3526624,Batch 2,Phase 1,2,10:01:43 AM,300,413.45,90.81,102.87,771,688,99.85,53,200.15,53,19.8,56.75,0,17.17,41,83,350,16,23,7.03,1,3,5.81,12.22,8.28,On,On
OF072522,Cage 7,3526624,Batch 2,Phase 1,3,10:06:43 AM,300,408.42,94.3,102.87,721,657,106.31,53,193.69,53,19.33,37.26,3,15.31,33,64,314,18,39,17.36,0,2,6.6,17.64,11.56,On,On
OF072522,Cage 7,3526624,Batch 2,Phase 1,4,10:11:43 AM,300,339.3,73.34,29.85,792,710,76.91,44,223.1,44,17.27,63.87,6,21.07,39,82,370,26,33,8.61,0,1,5.45,12.68,6.01,On,On
OF072522,Cage 8,3526701,Batch 2,Phase 1,1,9:56:58 AM,300,110.09,22.86,48.58,356,266,175.42,43,124.58,44,7.03,58.18,4,23.94,35,90,166,3,10,2.67,0,0,3.85,7.81,4.88,On,On
OF072522,Cage 8,3526701,Batch 2,Phase 1,2,10:01:58 AM,300,471.54,188.28,90.17,900,837,84.29,47,215.71,48,23.02,61.84,2,8.94,29,63,408,9,16,2.59,0,0,5.17,11.67,6.73,On,On
OF072522,Cage 8,3526701,Batch 2,Phase 1,3,10:06:58 AM,300,381.7,68.9,96.2,753,687,116.67,57,183.33,58,17.25,62.96,4,11.79,26,66,335,18,26,9.63,2,1,6.23,16.46,9.45,On,On
OF072522,Cage 8,3526701,Batch 2,Phase 1,4,10:11:58 AM,300,313.35,63.5,89.54,600,543,144.89,62,155.11,63,14.69,50.17,2,11.24,29,57,250,7,8,4.06,1,1,6.36,19.71,7.55,On,On
OF072522,Cage 9,3526354,Batch 2,Phase 1,1,9:57:36 AM,300,534.07,151.13,163.51,797,756,121.73,50,178.27,51,19.65,40.71,7,9,23,41,344,9,8,2.19,3,1,6.93,19.64,7.28,On,On
OF072522,Cage 9,3526354,Batch 2,Phase 1,2,10:02:36 AM,300,609.73,170.82,164.15,1081,996,83.89,47,216.11,48,21.2,53.05,1,13.1,40,85,566,25,30,11.67,2,2,8.25,18.71,11.57,On,On
OF072522,Cage 9,3526354,Batch 2,Phase 1,3,10:07:36 AM,300,689.25,186.69,204.47,1043,994,90.9,53,209.1,54,23.83,48.16,4,6.84,24,49,389,26,41,9.53,2,6,9.13,18.21,17.8,On,On
OF072522,Cage 9,3526354,Batch 2,Phase 1,4,10:12:36 AM,300,711.77,204.15,167.32,1150,1065,88.49,55,211.51,56,25.93,52.5,3,11.27,37,85,575,29,37,9.23,1,4,10.17,20.75,13.84,On,On
OF072522,Cage 10,3526329,Batch 2,Phase 1,1,9:57:51 AM,300,166.08,69.22,42.86,396,357,193.92,73,106.08,74,11.76,105.85,5,8.2,24,39,154,6,8,1.11,1,0,5.12,11.05,5.44,On,On
OF072522,Cage 10,3526329,Batch 2,Phase 1,2,10:02:51 AM,300,833.54,226.06,173.36,1449,1370,48.31,28,251.69,28,28.06,49.06,3,14.56,39,79,815,28,35,9.94,4,4,9.04,23.59,13.17,On,On
OF072522,Cage 10,3526329,Batch 2,Phase 1,3,10:07:51 AM,300,629.48,123.83,147.32,1137,1064,81.15,44,218.85,45,21.91,44.37,4,11.84,33,73,557,21,28,9.25,2,1,8.13,21.43,14.22,On,On
OF072522,Cage 10,3526329,Batch 2,Phase 1,4,10:12:51 AM,300,482.26,100.97,103.19,994,944,101.46,54,198.54,55,23.37,68.11,1,8.77,26,50,432,24,33,6.79,1,1,8.3,17.04,10.98,On,On
